id,title,price,published,acreage,street,ward,district
32,"Cho Nữ thuê phòng đẹp có ban công, Phú Nhuận",5000000,2019-12-24,25.0,452/8 Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
33,"Cho thuê phòng trọ Phú Nhuận đầy đủ nội thất, sạch đẹp, an ninh, giờ tự do",5000000,2019-08-06,30.0,Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
34,CHO THUÊ PHÒNG SV NỮ Ở GHÉP Q.4- 3TR/THÁNG,3000000,2016-08-23,45.0,58/24/5 Tôn Thất Thuyết,Phường 18,Quận 4
35,Cho Thuê Phòng trọ đẹp giá rẻ bao điện nước internet hẻm an ninh. Có chỗ để xe,1500000,2018-04-20,15.0,671/7 Đường Đoàn Văn Bơ,Phường 18,Quận 4
36,"CHO SINH VIÊN THUÊ PHÒNG QUẬN 4, GẦN CÁC TRƯỜNG ĐẠI HỌC LUẬT, TÀI CHÍNH MARKETING, NGUYỄN TẤT THÀNH, TÔN ĐỨC THẮNG",3500000,2016-02-16,25.0,09 Tôn Thất Thuyết,Phường 18,Quận 4
37,"Cho thuê Phòng Trọ Cao Cấp hẻm 58 Tôn Thất Thuyết, Quận 4",3500000,2017-03-19,30.0,874/14/17 Đoàn Văn Bơ,Phường 18,Quận 4
38,Nhà mới phòng mới đẹp sach sẽ đầy đủ tiện nghi,3000000,2017-01-25,20.0,Đoàn Văn Bơ,Phường 18,Quận 4
40,"CHO THUÊ PHÒNG TRỌ MỚI XÂ, GIỜ GIẤC TỰ DO, CÓ KHOA VÂN TAY AN NINH - Quận 4",3500000,2017-03-22,40.0,Đoàn Văn Bơ,Phường 18,Quận 4
41,"Phòng trọ cho nhân viên văn phòng, sinh viên, hộ gia đình",4000000,2017-10-11,35.0,49 Đường Tôn Thất Thuyết,Phường 18,Quận 4
42,Cần cho sinh viên nữ thuê phòng,3000000,2019-06-12,20.0,Đường Nguyễn Thần Hiến,Phường 18,Quận 4
43,CHO THUÊ PHÒNG SINH VIÊN – NỮ CÔNG NHÂN,2000000,2018-11-02,8.0,Đường Nguyễn Tất Thành,Phường 18,Quận 4
44,"Cho thuê phòng trọ Quận 4, 878 Đoàn Văn Bơ 34m2",2100000,2018-11-22,34.0,Đường Đoàn Văn Bơ,Phường 18,Quận 4
45,PHÒNG 25M2 MỚI XÂY 100% - CÓ GÁC LỬNG - FULL TIỆN NGHI ĐƯỜNG NGUYỄN TẤT THÀNH - 4 TRIỆU/THÁNG,4000000,2019-01-04,25.0,Đường Nguyễn Tất Thành,Phường 18,Quận 4
46,"Phòng trọ full nội thất giá rẻ, ngay cầu Tân Thuận",4500000,2019-11-02,28.0,Đường Nguyễn Tất Thành,Phường 18,Quận 4
47,Phòng trọ MỚI XÂY có gác có máy lạnh,4500000,2019-05-16,32.0,Đường Tôn Thất Thuyết,Phường 18,Quận 4
48,PHÒNG 25M2 CÓ GÁC - ĐẦY ĐỦ TIỆN NGHI ĐƯỜNG TÔN THẤT THUYẾT - 4TR/THÁNG,4000000,2019-01-04,25.0,Đường Tôn Thất Thuyết,Phường 18,Quận 4
49,Phòng trọ cho nữ sinh viên hoặc nữ nhân viên văn phòng,3500000,2019-10-30,16.0,699 Đường Đoàn Văn Bơ,Phường 18,Quận 4
50,"Cho Thuê Phòng Tiện nghi cao cấp sạch sẽ, giá từ 2tr5-4tr5",4500000,2020-02-17,25.0,Số 18 Đường số 16,Phường 18,Quận 4
51,"PHÒNG ĐẸP, MỚI XÂY, BAN CÔNG, PHÒNG BẾP RIÊNG, ĐẦY ĐỦ TIỆN NGHI Q.PHÚ NHUẬN",7500000,2020-01-06,35.0,541/46 Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
52,"BUNKA HOUSE 460 - Ký túc xá khu vực Quận 1, Quận 4, Quận 7",1500000,2020-09-29,30.0,460C Đường Nguyễn Tất Thành,Phường 18,Quận 4
53,"Hiện còn 2 phòng nhỏ 1 người ở cho nam thuê - giá 1trieu3/tháng, 424/27 Ng Tất Thành, P.18, Q.4 -1trieu5/tháng",1200000,2020-06-18,9.0,Đường Nguyễn Tất Thành,Phường 18,Quận 4
55,"Phòng trọ Quận 4 có gác, view sông, gần trung tâm giờ giấc tự do",4000000,2020-03-09,20.0,13A Đường Tôn Thất Thuyết,Phường 18,Quận 4
56,"Cho Thuê Phòng Full Nội Thất Đặng Văn Ngữ, Phú Nhuận",5500000,2020-02-14,30.0,184/3 Đường Đặng Văn Ngữ,Phường 14,Quận Phú Nhuận
57,CĂN HỘ 1 PHÒNG NGỦ RIÊNG VÀ 1 PHÒNG BẾP FULL NỘI THẤT Q.PHÚ NHUẬN 35M2,7000000,2020-02-08,35.0,541/46a Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
58,"Cho thuê phòng Full nội thất 20m2 Ngay Đặng Văn Ngữ, Q.Phú Nhuận. Giá từ 4.7tr/tháng",4700000,2020-05-09,20.0,122/10 Đường Đặng Văn Ngữ,Phường 14,Quận Phú Nhuận
59,Phòng trọ ban công 28m² - full nội thất - Quận Phú Nhuận,5900000,2020-07-07,28.0,122/10 Đường Đặng Văn Ngữ,Phường 14,Quận Phú Nhuận
60,"Phòng 35m2 máy lạnh, tolet riêng lối đi riêng",4500000,2020-08-13,35.0,Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
61,CĂN HỘ MINI - PHÚ NHUẬN - BAN CÔNG & CỬA SỔ,5900000,2020-07-07,28.0,122/10 Đường Đặng Văn Ngữ,Phường 14,Quận Phú Nhuận
62,"Phòng trọ trung tâm, có gác, máy lạnh, 20m2, 35m2, tolet riêng",3800000,2020-08-18,18.0,Đường Lê Văn Sỹ,Phường 14,Quận Phú Nhuận
63,"Phòng trọ Huỳnh Văn Bánh Quận Phú Nhuận, có gác, có máy lạnh, diện tích 20m2",4000000,2020-08-13,20.0,452/14 Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
64,"Phòng trọ đường Huỳnh Văn Bánh Quận Phú Nhuận, 35m2, có lối đi riêng",4300000,2020-08-23,35.0,452/14 Đường Huỳnh Văn Bánh,Phường 14,Quận Phú Nhuận
65,"Phòng trọ phú nhuận, có tolet, máy lạnh, cửa xổ, wifi, máy giặt",3500000,2020-10-24,18.0,Đường Lê Văn Sỹ,Phường 14,Quận Phú Nhuận
67,"Phòng trọ cao cấp gần Lotte, BV 24/24, hầm để xe, thang máy, free máy giặt, wifi, cáp, giá 3tr-6tr",3000000,2022-05-14,20.0,83A Phố số 49,Phường Tân Quy,Quận 7
68,️️Phòng Rộng Rãi Có Gác Thang Máy Sát Lotte Quận 7️️. Giá thuê chỉ từ 3tr3 đến 3tr5/tháng,3500000,2022-05-12,20.0,Đường Nguyễn Thị Thập,Phường Tân Quy,Quận 7
69,Phòng trọ có gác mới xây sát lotte quận 7,3600000,2022-05-15,20.0,Đường Mai Văn Vĩnh,Phường Tân Quy,Quận 7
