id,title,price,published,acreage,street,ward,district
832,"Cho thuê lầu 2 nhà hẻm Tôn Đản, Quận 4, Tp.HCM",2000000,2017-07-27,16.0,Tôn Đản,Phường 8,Quận 4
833,"TÌM NGƯỜI Ở GHÉP KHU VỰC QUẬN 4, QUẬN 1 VÀ QUẬN 7.",1300000,2017-08-28,25.0,Vĩnh Khánh,Phường 8,Quận 4
835,CHO THUÊ PHÒNG TRỌ QUẬN 4 (ƯU TIÊN SINH VIÊN),1300000,2017-09-09,25.0,7 Đường Vĩnh Khánh,Phường 8,Quận 4
836,KTX CAO CẤP - CHỈ 1T3 / NGƯỜI --------- ( CHỈ CÒN 1 PHÒNG DUY NHẤT CHO NAM ) . QUẬN 4 SÁT VÁCH Q1 ,1300000,2018-06-23,25.0,7 Đường Vĩnh Khánh,Phường 8,Quận 4
837,PHÒNG TRỌ CHO THUÊ QUẬN 4 ( SANG QUẬN 1 CHỈ 2 PHÚT )GIÁ CHỈ 1T3 ≧❂◡❂≦ ≧◔◡◔≦&#x200d;&#x2642;&#x200d;&#x2640;&#x200d;&#x2642;,1300000,2018-02-01,22.0,SỐ 7 Đường Vĩnh Khánh,Phường 8,Quận 4
838,"PHÒNG CHO THUÊ RỘNG RÃI, TỰ DO, TIỆN NGHI TRUNG TÂM QUẬN 4 DÀNH RIÊNG CHO NGƯỜI Ở KIỂU GIA ĐÌNH",3000000,2018-10-11,20.0,Đường Tôn Đản,Phường 8,Quận 4
839,Cho thuê phòng trọ (2 người ở),1900000,2018-06-04,12.0,Đường Tôn Đản,Phường 8,Quận 4
840,"Phòng 15m2 có gác, mới, an ninh, hẻm 266 Tôn Đản gần ĐH Luật",2400000,2018-04-16,15.0,Đường Tôn Đản,Phường 8,Quận 4
841,"Phòng trọ cho nam (sinh viên, dân công sở), Quận 4. (sang Quận 1 chỉ cần 2 phút đi bộ)",1300000,2018-08-18,22.0,237/36/42 Đường Hoàng Diệu,Phường 8,Quận 4
842,Cho thuê phòng trọ sau lưng Đại học Y Dược,3800000,2020-02-11,60.0,22 Đường Ký Hòa,Phường 11,Quận 5
843,"Phòng cho Nữ thuê chung cư đoàn Văn Bơ, Phường 12, Quận 4. Sát Quận 1. Ngay trung tâm",1300000,2017-01-09,12.0,Đoàn Văn Bơ,Phường 12,Quận 4
845,Cần cho sinh viên nữ hay người đi làm ở ghép,800000,2020-08-31,15.0,Đường Tản Đà,Phường 11,Quận 5
846,"Cho thuê phòng trọ đẹp rẻ, phòng rộng",3500000,2019-09-28,20.0,84 Đường Châu Văn Liêm,Phường 11,Quận 5
847,Phòng Trọ Ngay Trung Tâm Quận 5,3000000,2020-03-23,40.0,Đường Lão Tử,Phường 11,Quận 5
849,Cho thuê phòng ngay ĐH Y Dược quận 5,3800000,2020-03-23,30.0,Đường Ký Hòa,Phường 11,Quận 5
850,Cho thuê phòng ở Q5 (3m8 x 5m),3500000,2020-05-04,19.0,Đường Trần Nhân Tôn,Phường 9,Quận 5
851,"Cho thuê phòng 20m2 nhà mặt tiền 199 Hùng Vương P9 Q5 giá hổ trọ sau dịch 3,5tr/tháng",4000000,2020-06-09,20.0,199 Đường Hùng Vương,Phường 9,Quận 5
852,"Cho thuê phòng 30m2 tầng trệt chung cư Sư Vạn Hạnh Đối diện BV 30/4 P.9, Q.5. Giá 4.2tr/th",4200000,2020-06-19,30.0,Đường Sư Vạn Hạnh,Phường 9,Quận 5
853,Cho thuê phòng ở Quận 5 (3m8 x 5m),3500000,2020-03-02,19.0,hẻm 57 Đường Trần Nhân Tôn,Phường 9,Quận 5
854,"Cho thuê phòng 25m2 nhà mặt tiền 199 Hùng Vương, P.9, Q.5. Giá 4tr/tháng, LH Ms Trâm",4000000,2020-02-21,25.0,199 Đường Hùng Vương,Phường 9,Quận 5
855,Cho thuê phòng trọ Nguyễn Tri Phương,1600000,2019-11-16,16.0,197 Đường Nguyễn Tri Phương,Phường 9,Quận 5
856,"Phòng trọ cho học sinh - sinh viên - người đi làm ( đầy đủ tiện nghi ) Giá 2,2 triệu/tháng",2200000,2020-10-01,20.0,206/25 L1 Đường Trần Hưng Đạo,Phường 11,Quận 5
857,Cho thuê phòng trọ trong căn hộ chung cư,1700000,2020-12-01,12.0,187 Đường Lương Nhữ Học,Phường 11,Quận 5
858,Phòng trọ rộng 20m2 p11 q5 gần trường Đại Học Y Dược,4000000,2020-10-02,20.0,7 Đường Phù Đổng Thiên Vương,Phường 11,Quận 5
859,Phòng trọ cho học sinh - sinh viên - người đi làm ( đầy đủ tiện nghi máy lạnh - máy nước nóng ) Giá 3 triệu/tháng,3000000,2021-03-04,16.0,63 Đường Ngô Quyền,Phường 11,Quận 5
860,CHO THUÊ PHÒNG P11 Q5 NGAY CHỢ XÃ TÂY CÁCH TRƯỜNG ĐHYD 200 MÉT,3600000,2021-03-29,18.0,7 Phù Đổng Thiên Vương,Phường 11,Quận 5
861,Phòng trọ Quận 5 20m² giá Sinh Viên,2500000,2021-04-26,20.0,88 Châu Văn Liêm,Phường 11,Quận 5
863,"Cho thuê phòng trệt, diện tích 28m² tại 714/19 Đường Nguyễn Trãi, Phường 11, Quận 5",4000000,2021-11-10,28.0,714/19 Đường Nguyễn Trãi,Phường 11,Quận 5
864,"Phòng mới xây ngay Hồng Bàng, ĐH Y Dược Quận 5",5500000,2021-12-21,30.0,Hồng Bàng,Phường 11,Quận 5
865,Cho Thuê căn hộ sát bên Đại học y dược,3500000,2022-04-07,60.0,22 Đường Ký Hòa,Phường 11,Quận 5
866,"Phòng trống cho nữ thuê tại 16 Tản Đà, Phường 11, Quận 5",3300000,2022-05-07,40.0,16 Tản Đà,Phường 11,Quận 5
867,"Cho thuê Phòng Cao Cấp đường Trần Hưng Đạo. Giá 3,5 triệu/phòng 20m2",3500000,2022-02-11,25.0,88 Đường Trần Hưng Đạo,Phường 11,Quận 5
868,Cho thuê nguyên tầng trên giá 4tr/tháng (ngang 4 dài 10) tại 105/4 Ngô Quyền p11 Q5,4000000,2022-01-24,40.0,105/4 Đường Ngô Quyền,Phường 11,Quận 5
869,"Chính chủ cho nữ thuê phòng đường Nguyễn Trãi, 3.5tr-4.5tr",3500000,2019-05-08,20.0,Đường Nguyễn Trãi,Phường 8,Quận 5
870,"Phòng trọ Quận 5 đối diện BV Hùng Vương, sát cạnh ĐHYD.",3000000,2022-05-03,20.0,243/4 Đường Hồng Bàng,Phường 11,Quận 5
871,"Phòng ký túc xá cho NỮ ngay ĐH Y dược, ĐH Sư phạm",1700000,2019-08-25,30.0,65 Đường An Dương Vương,Phường 8,Quận 5
872,"Cho thuê phòng trọ đường số 100 Hùng Vương, P.9, Q.5",1600000,2017-11-12,10.0,Đường Số 100 Hùng Vương,Phường 9,Quận 5
873,"Chính chủ cho thuê phòng Q.5, gần chợ An Đông",5800000,2018-03-20,25.0,Đường Sư Vạn Hạnh,Phường 9,Quận 5
874,"Cho thuê phòng ngay trung tâm Q.5 thoáng mát, sạch đẹp!",8000000,2018-01-31,16.0,Đường Sư Vạn Hạnh,Phường 9,Quận 5
875,CHO THUÊ PHÒNG TRỌ GIÁ RẺ TẠI QUẬN 5 TP HCM,6000000,2017-08-09,30.0,20 Sư Vạn Hạnh,Phường 9,Quận 5
876,"PHÒNG TRỌ TỪ 2.5 TRĐ TẠI 101/60 NGUYỄN CHÍ THANH P9 Q5, WIFI, INTERNET MIỄN PHÍ, NGAY CHỢ AN ĐÔNG",2500000,2017-12-03,20.0,101/60 Nguyễn Chí Thanh,Phường 9,Quận 5
877,Phòng cho thuê quận 5 đầy đủ tiện nghi gần An đông bv 30/4 đường Sư Vạn Hạnh An dương vương giá từ 4triệu,4000000,2018-03-20,25.0,20 Đường Sư Vạn Hạnh,Phường 9,Quận 5
879,"Cho thuê phòng trọ trung tâm Quận 5, đầy đủ nội thất tiện nghi",4500000,2017-11-29,20.0,Đường Sư Vạn Hạnh,Phường 9,Quận 5
880,Cho thuê phòng đẹp rẻ và sạch sẽ,2000000,2018-04-14,20.0,Đường Ngô Quyền,Phường 9,Quận 5
881,Chính chủ cho sinh viên nữ thuê phòng ở ghép - Q.5,3000000,2018-10-01,20.0,204/23/13 Đường Trần Phú,Phường 9,Quận 5
882,"Cho thuê phòng trọ đẹp 25B Sư Vạn Hạnh, P.9, Q.5",2500000,2019-03-16,15.0,Đường Sư Vạn Hạnh,Phường 9,Quận 5
883,"Cho thuê phòng trọ mặt tiền đường Hùng Vương, Q.5",3500000,2018-05-28,30.0,281 Đường Hùng Vương,Phường 9,Quận 5
884,"Phòng dư cho nữ thuê, sạch sẽ thuận tiện đi lại",2500000,2018-06-08,15.0,5/6 Trần Nhân Tôn,Phường 9,Quận 5
885,"Cho thuê phòng đẹp, mặt tiền, giá rẻ, chính chủ, miễn trung gian",2800000,2018-07-19,30.0,Đường Nguyễn Tri Phương,Phường 9,Quận 5
886,Sạch sẽ &amp; An Ninh trên hết là sự nhiệt tình của chủ nhà,1700000,2018-05-04,30.0,Đường Hùng Vương,Phường 9,Quận 5
887,Cho thuê phòng trọ đối tượng [Sinh Viên - Người đi làm] giá cả phải chăng - phòng đẹp - sạch sẽ - an ninh cao,2600000,2018-05-14,20.0,số 100/7b ch.c HV Đường Hùng Vương,Phường 9,Quận 5
888,Cần cho thuê phòng trọ ở Quận 5,2500000,2019-01-23,20.0,Đường 391 Trần Phú,Phường 8,Quận 5
889,"Cho nữ thuê nguyên tầng lầu 27m2, Nguyễn Trãi, Q.5",5000000,2018-11-02,27.0,Đường Nguyễn Trãi,Phường 8,Quận 5
891,phòng cho thuê đầy đủ tiện nghi,4000000,2016-06-08,30.0,270 lầu 1 Trần Phú,Phường 8,Quận 5
895,Phòng trọ cho thuê chính chủ tại Quận 5,2000000,2018-08-27,20.0,Đường Nguyễn Trãi,Phường 8,Quận 5
896,Cho thuê phòng trọ ở trung tâm quận 5,2000000,2019-02-09,18.0,284 Đường Trần Phú,Phường 8,Quận 5
898,"Cho thuê phòng tầng 2 và tầng 3 ngay mặt tiền Hùng Vương, Q.5. LH: Ms Trầm",4000000,2019-08-03,20.0,199 Đường Hùng Vương,Phường 9,Quận 5
899,"Cho thuê phòng trọ, chung cư 43-45 Nguyễn Chí Thanh",3600000,2019-09-10,28.0,506 Đường Nguyễn Chí Thanh,Phường 9,Quận 5
900,"Cho thuê phòng số 002, Lô F, chung cư Nguyễn Trãi, đường Mạc Thiên Tích, phường 08, quận 05, TPHCM",2500000,2019-09-01,13.0,Phố Mạc Thiên Tích,Phường 8,Quận 5
901,"Ký túc xá 4.0, full nội thất bao điện nước, Nguyễn Duy Dương, Quận 5. Giá chỉ 1.4tr/tháng",1400000,2019-12-11,25.0,1/4 Đường Nguyễn Duy Dương,Phường 8,Quận 5
902,"Cần cho thuê một phòng trọ tại 172 Đường Trần Phú, Phường 9, Quận 5, Hồ Chí Minh",3000000,2019-09-28,20.0,172 Đường Trần Phú,Phường 9,Quận 5
903,"Cho thuê phòng trọ cao cấp, Full nội thất đường Nguyễn Trãi, Quận 5",5500000,2019-12-18,25.0,342 Đường Nguyễn Trãi,Phường 8,Quận 5
904,"Phòng Ngay Chợ An đông, Miễn phí wifi, cáp, cách ĐH Kinh tế 200m",2000004,2020-07-09,20.0,101/60 Đường Nguyễn Chí Thanh,Phường 9,Quận 5
905,Phòng trọ KTX Quận 5- Giải pháp cho những bạn độc lập tài chính,1700000,2020-01-04,30.0,67/2 Đường An Dương Vương,Phường 8,Quận 5
906,"Cho thuê phòng trọ chính chủ, đầy đủ tiện nghi, mặt tiền đường một chiều Q5, gần chợ và khu trung tâm",2800000,2020-10-31,15.0,194 Đường Trần Phú,Phường 9,Quận 5
907,KÝ TÚC XÁ CAO CẤP QUẬN 5 TPHCM,1600000,2020-10-08,25.0,101/19 Đường Nguyễn Chí Thanh,Phường 9,Quận 5
908,Ký túc xá cao cấp nhiều tiện ích tại quận 5 Nguyễn Chí Thanh,1600000,2020-10-08,25.0,Đường Nguyễn Chí Thanh,Phường 9,Quận 5
909,Cho thuê phòng có nội thất nhà mặt tiền 17 Đường Nguyễn Chí Thanh P9 Q5 giá từ 4tr/th,4000000,2021-03-17,18.0,17 Nguyễn Chí Thanh,Phường 9,Quận 5
910,"Cho thuê phòng trọ tại 236/17 Đường Trần Phú, Phường 9, trung tâm Q.5",3000000,2021-06-02,15.0,236/17 Đường Trần Phú,Phường 9,Quận 5
911,"Q5 phòng trọ tầng cao có cửa sổ, đầy đủ tiện nghi, mặt tiền, gần chợ, Windsor",2800000,2021-12-14,15.0,194 Đường Trần Phú,Phường 9,Quận 5
912,"Phòng sạch đẹp, Wc Riêng giá bình dân gần Nguyễn Văn Cừ",2500000,2022-08-01,20.0,359/6 Trần Bình Trọng,Phường 9,Quận 5
913,"Phòng trọ sinh viên gần ĐH Y Dược, Kinh Tế, Sự Phạm - từ 1tr8/tháng",1800000,2022-01-12,80.0,109 Đường Nguyễn Chí Thanh,Phường 9,Quận 5
914,"CẦN Cho thuê phòng trọ ( Trần nhân Tôn P.9Q.5, Tân Tạo A Bình Tân ,Nguyễn Vẵn Linh Q.8)",1500000,2022-02-16,20.0,5/4B Đường Trần Nhân Tôn,Phường 9,Quận 5
915,"Phòng Xinh Y Hình, Gần Hùng Vương, Sư Vạn Hạnh Quận 5",4000000,2022-03-21,20.0,194 Sư Vạn Hạnh,Phường 9,Quận 5
916,"Phòng Cửa Sổ Trời, Full Nội Thất, Ngô Gia Tự, Quận 5",4900000,2022-07-22,20.0,7 Ngô Gia Tự,Phường 9,Quận 5
917,Phòng trọ mới xây quận 5,2300000,2019-03-16,16.0,Đường Nguyễn Chí Thanh,Phường 12,Quận 5
918,Phòng trọ cho thuê mới xây quận 5,2300000,2019-03-16,16.0,Đường Nguyễn Chí Thanh,Phường 12,Quận 5
920,Cho thuê phòng trọ mới xây khu vực Quận 5,2500000,2019-03-13,15.0,Đường Nguyễn Chí Thanh,Phường 12,Quận 5
922,"Cho bạn nữ thuê phòng, an ninh, yên tĩnh, sạch sẽ",3700000,2019-11-08,20.0,44 Đường Tân Hưng,Phường 12,Quận 5
923,Phòng trọ cho thuê thích hợp cho sinh viên nữ hoặc vợ chồng,2000000,2019-04-25,10.0,117/2 Đường An Bình,Phường 6,Quận 5
924,"Cho thuê phòng cao cấp Full nội thất tại An Bình, P.6, Q.5. LH : Ms Thanh 0908223779",5000000,2019-04-26,20.0,Đường An Bình,Phường 6,Quận 5
925,"Phòng trọ, căn hộ 1 phòng ngủ 2 phòng ngủ, khách bếp tiện nghi DT 80m2 Q.8",3500000,2019-07-19,60.0,Đường Ngô Quyền,Phường 6,Quận 5
926,"Cho thuê phòng 20m2 giờ giấc tự do nhà mặt tiền Bùi Hữu Nghĩa, P.8, Q.5. Giá từ 3.5tr/tháng",3500000,2020-03-16,20.0,Đường Bùi Hữu Nghĩa,Phường 8,Quận 5
927,Phòng trọ giá rẻ Q5 sát cầu Nguyễn Tri Phương cho thuê 3th mới 100% An ninh Yên tĩnh Giờ giấc 24/24 Cho nuôi chó mèo,4500000,2019-12-13,30.0,Đường Hàm Tử,Phường 6,Quận 5
928,Cho Thuê Phòng Đầy Đủ Tiện Nghi Trung Tâm Quận 5.,5000000,2019-06-28,40.0,1084 Đường Võ Văn Kiệt,Phường 6,Quận 5
929,"Cho thuê phòng gần chợ, trạm xe buýt, trường Đại Học Sư Phạm, Y Dược",1200000,2020-04-12,10.0,Đường Trần Phú,Phường 8,Quận 5
930,"Cho nữ sinh viên 1 - 2 người thuê phòng trọ trung tâm quận 5, tphcm",2200000,2020-03-16,18.0,270 lầu 2 Đường Trần Phú,Phường 8,Quận 5
931,Cho Thuê Phòng Trọ 35m2 Quận 5 ,1600000,2019-08-15,35.0,29 Đường Nguyễn Văn Đừng,Phường 6,Quận 5
932,"PHÒNG TRỌ GẦN ĐH Y DƯỢC, BV CHỢ RẪY, BV HÙNG VƯƠNG, ĐẸP, TIỆN ÍCH, GIÁ BÌNH DÂN, GIỜ GIẤC TỰ DO",4500000,2017-08-03,50.0,21 Nguyễn Kim,Phường 12,Quận 5
933,"Ký túc xá máy lạnh, gần ĐH Y Dược, BV Chợ rẫy, giờ giấc tự do, 500k/tháng",500000,2018-01-16,50.0,21 Đường Nguyễn Kim,Phường 12,Quận 5
934,"PHÒNG TRỌ KẾ BÊN ĐH Y DƯỢC, BV CHỢ RẪY, GIỜ GIẤC TỰ DO",1500000,2017-12-08,50.0,21 Nguyễn Kim,Phường 12,Quận 5
935,"PHÒNG TRỌ gần ĐH Y DƯỢC, BV CHỢ RẪY, BV HÙNG VƯƠNG, ĐẸP, TIỆN ÍCH, TIỆN NGHI CAO CẤP, GIÁ BÌNH DÂN, GIỜ GIẤC TỰ DO",4500000,2017-12-12,50.0,21 Nguyễn Kim,Phường 12,Quận 5
936,"Kí túc xá gần đại học Y Dược, BV Chợ Rẫy, ĐH Hồng Bàng, Q.5",600000,2017-06-18,18.0,21 Nguyễn Kim,Phường 12,Quận 5
937,"Cho thuê Phòng Ký túc xá mới, máy lạnh, tiện nghI, tiện ích, Ưu tiên SV, nhân viên VP",550000,2017-04-13,30.0,21 Nguyễn Kim,Phường 12,Quận 5
938,"Ký túc xá cạnh Parkson Hùng Vương, Q.5",500000,2018-01-20,50.0,21 Nguyễn Kim,Phường 12,Quận 5
939,"Phòng trọ liền kề ĐH Y Dược, bệnh viện Chợ Rẫy, bệnh viện Hùng Vương, giờ giấc tự do, giá cả hợp lý",4500000,2018-03-01,45.0,21 Đường Nguyễn Kim,Phường 12,Quận 5
941,"PHÒNG ĐẸP, ĐẦY ĐỦ TIỆN NGHI, CAO CẤP CỦA CHÍNH BẠN TẠI QUẬN 5",5000000,2016-06-17,30.0,55/5 Trần Hưng Đạo,Phường 6,Quận 5
942,"PHÒNG ĐẸP, ĐẦY ĐỦ TIỆN NGHI, CAO CẤP CỦA CHÍNH BẠN TẠI QUẬN 5",5000000,2016-05-26,30.0,55/5 Trần Hưng Đạo,Phường 6,Quận 5
943,"CHO THUÊ PHÒNG TRỌ QUẬN 5 - GẦN ĐẠI HỌC Y DƯỢC, ĐẠI HỌC HỒNG BÀNG",3000000,2016-12-05,32.0,Ngô Quyền,Phường 6,Quận 5
944,"CHO THUÊ PHÒNG TRỌ QUẬN 5, 12M2 GẦN ĐH Y DƯỢC, SƯ PHẠM, SÀI GÒN, RỘNG RÃI THOÁNG MÁT, WIFI",1500000,2016-06-28,12.0,Chung cư Hạnh Phúc 32 Ngô Quyền,Phường 6,Quận 5
945,"Cho thuê phòng trọ trong nhà nguyên căn, bao gồm phòng khách, nhà bếp, v.v…",2500000,2016-04-07,15.0,Hồng Bàng,Phường 6,Quận 5
946,Cho thuê phòng ngã tư Ngô Quyền và Trần Hưng Đạo,1200000,2017-10-02,18.0,Đường Nguyễn Tri Phương,Phường 6,Quận 5
947,"CHO THUÊ PHÒNG TRỌ QUẬN 5- GẦN ĐẠI HỌC Y DƯỢC, ĐẠI HỌC HỒNG BÀNG",3000000,2017-02-12,30.0,Ngô Quyền,Phường 6,Quận 5
948,Phòng trọ dành cho gia đình hoặc sinh viên ở ghép đều được,6000000,2018-11-05,36.0,75 Đường An Bình,Phường 6,Quận 5
949,Cho Thuê Nhà Chung Cư Viễn Đông,4000000,2018-03-12,24.0,107B/538 Đường Trần Hưng Đạo,Phường 6,Quận 5
950,Phòng trọ mới xây. Gần trung tâm 3/lầu3 Nguyễn Tri Phương. Giờ tự do,2500000,2018-03-23,12.0,3/Lầu 3 Nguyễn Tri Phương,Phường 6,Quận 5
952,"Ký túc xá cao cấp, gần ĐH Y Dược, BV Chợ rẫy, BV Hùng Vương, giờ giấc tự do, chỉ có 500k/tháng, máy lạnh",500000,2018-03-27,50.0,21 Nguyễn Kim,Phường 12,Quận 5
953,Cho thuê phòng Q.5 mới 100%,2900000,2018-08-27,23.0,Đường An Bình,Phường 6,Quận 5
954,"Cho thuê phòng trọ Quận 5, TP.HCM",2000000,2018-06-07,15.0,Đường Võ Văn Kiệt,Phường 6,Quận 5
956,"Ký Túc xá gần ĐH Y Dược, ĐH Kinh tế, ĐH QT Hông Bàng, ĐH Công nghệ TT, PT năng khiếu, BV Hùng Vương, BV Chợ Rẫy",500000,2018-07-19,50.0,21 Nguyễn Kim,Phường 12,Quận 5
957,"Cho thuê phòng trọ 13/5 Phó Cơ Điều, P.12, Q.5",2100000,2018-11-26,10.0,Đường Phó Cơ Điều,Phường 12,Quận 5
958,Phòng cho thuê dành cho sinh viên RỘNG RẺ có nội thất đg Hùng Vương q5,5500000,2018-12-31,30.0,Đường Hùng Vương,Phường 12,Quận 5
959,"Cho thuê phòng trọ khu vực trung tâm Quận 5, dễ đi lại, không chung lối đi với chủ nhà",1800000,2018-11-24,13.0,277/7 Đường Nguyễn Chí Thanh,Phường 12,Quận 5
960,Cho thuê phòng trọ mới xây ngay trung tâm Quận 5,1800000,2018-12-03,13.0,277/7 Đường Nguyễn Chí Thanh,Phường 12,Quận 5
961,CHO THUÊ PHÒNG CHUNG CƯ CAO CẤP TRUNG TÂM TP.HCM,6500000,2019-01-29,25.0,Số 86 Đường Tản Đà,Phường 12,Quận 5
962,"Phòng cho thuê rộng 40m2, rẻ, có nội thất, ban công, Hùng Vương, Quận 5",7000000,2018-12-31,40.0,Đường Hùng Vương,Phường 12,Quận 5
963,"Ký túc xá cao cấp, giờ giấc tự do, chỉ có 500k/tháng, máy lạnh",500000,2019-02-15,50.0,21 Đường Nguyễn Kim,Phường 12,Quận 5
964,Ký túc xá 500k sinh viên và người lao động,500000,2019-02-16,50.0,21Đường Nguyễn Kim,Phường 12,Quận 5
966,CĂN HỘ DỊCH VỤ FULL NỘI THẤT & TIỆN ÍCH,10000000,2020-06-25,35.0,274/12 Đường Nguyễn Trãi,Phường 8,Quận 5
967,"Cho thuê phòng ngoài ban công thoáng mát, gần chợ An Đông, trạm xe buýt, các trường đại học, không chung chủ",2200000,2020-04-29,20.0,Đường Trần Phú,Phường 8,Quận 5
968,KÍ TÚC XÁ CAO CẤP QUẬN 5 - BAO ĐIỆN NƯỚC,1900000,2020-10-10,30.0,60 Đường Phước Hưng,Phường 8,Quận 5
969,"Phòng rộng, đẹp tiện nghi, NT đầy đủ ngay Ngô Quyền, Q.5, giá 4.0tr",4000000,2021-03-17,25.0,Đường Ngô Quyền,Phường 8,Quận 5
970,"ban công ,sáng thoáng 120m2 ,trần phú ,quận 5",7500000,2021-03-05,120.0,Đường Trần Phú,Phường 8,Quận 5
971,Cho nữ thuê phòng trọ chỉ dành cho nữ,2500000,2021-05-11,17.0,319/2 Đường Trần Phú,Phường 8,Quận 5
972,*CHO THUÊ PHÒNG TRỌ TRUNG TÂM QUẬN 5,5000000,2021-05-20,32.0,357/3 Đường Trần Phú,Phường 8,Quận 5
973,"Cho nữ thuê phòng trọ Số 270 Trần Phú, Quận 5. Liên hệ chị Thi: 0919709670",1200000,2021-05-25,12.0,270 Đường Trần Phú,Phường 8,Quận 5
974,Phòng trọ 30m2 An Dương Vương Q5 full nội thất giá thuê 4tr5/tháng,4500000,2021-05-31,30.0,65 An Dương Vương,Phường 8,Quận 5
975,"Phòng full nội thất có ban công, có cửa sổ thoáng mát ( Võ Văn Kiệt )",5000000,2020-07-23,36.0,Đường Võ Văn Kiệt,Phường 10,Quận 5
976,Phòng trọ mới xây tại Quận 5 sạch sẽ thoáng mát,3000000,2022-07-15,15.0,205/1A Bùi Hữu Nghĩa,Phường 8,Quận 5
977,"Phòng Mới Xây, Có Ban Công, Giá chỉ 4.8tr, Ngay Parkson Hùng Vương, ĐH Y dược HCM, Q.5",4800000,2020-08-25,25.0,1186 Đường Võ Văn Kiệt,Phường 10,Quận 5
978,"Cho thuê phòng trọ An Điềm, P.10, Q.5, TPHCM",1800000,2020-08-25,12.0,38B Lầu 2 Đường An Điềm,Phường 10,Quận 5
979,"Cho thuê phòng đẹp, ngay Nguyễn Trãi, gần Parkson Hùng Vương, đại học Y Dược HCM - Quận 5",6000000,2020-11-03,30.0,Đường Võ Văn Kiệt,Phường 10,Quận 5
980,Cho thuê phòng trọ có gắn máy lạnh,1800000,2020-11-18,12.0,34/34 Đường Hải Thượng Lãn Ông,Phường 10,Quận 5
981,Cho thuê phòng trọ diện tích 30m2 ngay trung tâm quận 5,3000000,2021-03-24,30.0,Đường Tản Đà,Phường 10,Quận 5
982,"Phòng trọ Nữ tại Quận 5, Đường Tân Hưng",3700000,2019-11-23,18.0,44 Đường Tân Hưng,Phường 12,Quận 5
983,Phòng trọ mới xây trung tâm quận 05,2300000,2020-02-17,17.0,277/7 Đường Nguyễn Chí Thanh,Phường 12,Quận 5
984,"Ký túc xá gần ĐH Y Dược, PT Năng khiếu, BV Chợ Rẫy, Hùng Vương, chỉ có 500.000 đ/th, giờ giấc tự do",500000,2020-03-24,45.0,21 Đường Nguyễn Kim,Phường 12,Quận 5
985,"Cho thuê giường tầng và phòng trong nhà nguyên căn mặt tiền 19 Nguyễn Kim, Q.5. Giá từ 1.2tr/th",1200000,2020-03-01,30.0,19 Đường Nguyễn Kim,Phường 12,Quận 5
986,"Ký túc xá gần ĐH Hùng Vương , Y Dược, BV Chợ Rẫy",700000,2020-06-20,45.0,Đường Nguyễn Kim,Phường 12,Quận 5
988,"Cho thuê phong mới xây khai truong Lê Đại hành- Phó Cơ Điều - qua Q10,Q5 đúng 2 phút",3000000,2021-12-11,19.0,Đường Hồng Bàng,Phường 12,Quận 5
989,Phòng ban công siêu thoáng ngay Đại Học Y Dược Quận 5 ở được 2 3 người,5000000,2021-12-08,25.0,Hồng Bàng,Phường 12,Quận 5
990,Ở ghép KTX siêu cao cấp FREE Gym Hùng Vương Plaza từ 1300k/tháng,1299000,2021-04-13,130.0,126 Đường Hồng Bàng,Phường 12,Quận 5
991,Phòng mới xây 100% khai trương ngay Hồng Bàng-Đường 3/2 - Chợ Thiếc SG,3000000,2021-12-11,19.0,Đường Hồng Bàng,Phường 12,Quận 5
992,"Cho thuê phòng trọ mặt tiền tại 170 Đường Dương Tử Giang, Phường 12, Quận 5",2500000,2021-10-02,15.0,170 Đường Dương Tử Giang,Phường 12,Quận 5
993,"Cho thuê nhà ngay trung tâm quận 5,ngã tư Ngô Quyền - Nguyễn Chí Thanh TPHCM",3350000,2022-01-16,45.0,Đường Ngô Quyền,Phường 12,Quận 5
995,Cho thuê phòng trọ thoáng mát yên tĩnh,1500000,2017-05-31,12.0,An Điềm,Phường 10,Quận 5
996,"PHÒNG CHO THUÊ QUẬN 5 ĐẸP SANG TRỌNG, ĐẦY ĐỦ TIỆN NGHI CÓ BẾP NẤU ĂN",6000000,2017-10-14,30.0,Đường Võ Văn Kiệt,Phường 10,Quận 5
997,"Cho thuê phòng căn hộ full nội thất giáp quận 1, có thang máy, bảo vệ 24/24, cách Hùng Vương Plaza 1 phút.",6500000,2017-06-11,35.0,1186 Võ Văn Kiệt,Phường 10,Quận 5
998,"CHO THUÊ CĂN HỘ MINI QUẬN 5, MẶT TIỀN ĐƯỜNG VÕ VĂN KIỆT, GIỜ GIẤC TỰ DO LIÊN HỆ SĐT: 0919.740.790",6000000,2017-09-28,35.0,1186 Đường Võ Văn Kiệt,Phường 10,Quận 5
999,"THUÊ NHÀ NGUYÊN CĂN PHƯỜNG 10, QUẬN 5",2500000,2017-10-02,20.0,Đường Vạn Kiếp,Phường 10,Quận 5
1000,"Phòng trọ đầy đủ tiện nghi, ngay trung tâm Quận 1",4800000,2017-08-05,30.0,Phan Văn Trị,Phường 10,Quận 5
1002,"Căn hộ studio cho thuê quận 5 mặt tiền đại lộ Võ Văn Kiệt, rộng rãi, có bếp, bảo vệ 24/24, tòa nhà sang trọng 6.5tr",6500000,2017-10-19,30.0,Đường Võ Văn Kiệt,Phường 10,Quận 5
